Epoch [1/20], Loss: 0.6489, Accuracy: 61.84%
Epoch [2/20], Loss: 0.4986, Accuracy: 75.94%
Epoch [3/20], Loss: 0.4166, Accuracy: 81.30%
Epoch [4/20], Loss: 0.3695, Accuracy: 83.61%
Epoch [5/20], Loss: 0.3310, Accuracy: 85.46%
Epoch [6/20], Loss: 0.3069, Accuracy: 86.77%
Epoch [7/20], Loss: 0.2872, Accuracy: 87.83%
Epoch [8/20], Loss: 0.2618, Accuracy: 88.84%
Epoch [9/20], Loss: 0.2531, Accuracy: 89.23%
Epoch [10/20], Loss: 0.2444, Accuracy: 89.85%
Epoch [11/20], Loss: 0.2248, Accuracy: 90.62%
Epoch [12/20], Loss: 0.2178, Accuracy: 90.87%
Epoch [13/20], Loss: 0.2088, Accuracy: 91.72%
Epoch [14/20], Loss: 0.2000, Accuracy: 91.80%
Epoch [15/20], Loss: 0.2024, Accuracy: 91.62%
Epoch [16/20], Loss: 0.1845, Accuracy: 92.43%
Epoch [17/20], Loss: 0.1867, Accuracy: 92.53%
Epoch [18/20], Loss: 0.1827, Accuracy: 92.62%
Epoch [19/20], Loss: 0.1835, Accuracy: 92.72%
Epoch [20/20], Loss: 0.1722, Accuracy: 93.00%
Predictions saved to predictions.csv
